nama_hotel,alamat_hotel,jumlah_kamar
Hotel di Jogja,,1
Hotel Neo Malioboro by ASTON,"<span itemprop=""address"">Jl. Pasar Kembang No.21, Yogyakarta, Indonesia</span>",12
Harper Malioboro Yogyakarta by ASTON,"<span itemprop=""address"">Jl. Mangkubumi No.52, Yogyakarta, Indonesia</span>",8
Best City Hotel,"<span itemprop=""address"">Jl. Tentara Pelajar No. 44, Jetis, Yogyakarta, Indonesia</span>",8
Grand Sarila Yogyakarta,"<span itemprop=""address"">Jl. Affandi No. 3, Condong Catur, Yogyakarta 55283, Indonesia</span>",4
favehotel Malioboro Yogyakarta,"<span itemprop=""address"">Jl. I Dewa Nyoman Oka No.30, Gondokusuman, Yogyakarta, Indonesia</span>",5
de Laxston Hotel Yogyakarta,"<span itemprop=""address"">Jl. Urip Sumaharjo No. 139 A, Gondokusuman, Yogyakarta, Indonesia</span>",15
Royal Malioboro by ASTON,"<span itemprop=""address"">Jl. Pasar Kembang No. 29, Sosromenduran, Gedongtengen, Yogyakarta, Indonesia</span>",5
Apartemen Jowo Kluthuk at Malioboro City,"<span itemprop=""address"">Jl. Laksda Adi Sucipto, Condong Catur, Depok, Sleman, Yogyakarta, DI Yogyakarta, Indonesia</span>",7
GRAND ASTON Hotel & Convention Center Yogyakarta,"<span itemprop=""address"">Jl. Urip Sumoharjo No.37, Gondokusuman, Yogyakarta, Indonesia</span>",7
Aveon Hotel Yogyakarta by Daphna International,"<span itemprop=""address"">Jl. Padjajaran No. 160, Ring Road Utara, Pugeran, Maguwoharjo, Depok, Sleman, Yogyakarta, Indonesia</span>",9
Forriz Hotel Yogyakarta,"<span itemprop=""address"">Jl. HOS Cokroaminoto No.16, Yogyakarta, Indonesia</span>",6
The Manohara Hotel Yogyakarta,"<span itemprop=""address"">Jalan Affandi No.35, Gejayan, Sleman, Daerah Istimewa Yogyakarta 55281</span>",17
PULANG ke UTTARA,"<span itemprop=""address"">Jl. Kaliurang KM. 5,5 No. 72, Depok, Sleman, Yogyakarta, Indonesia</span>",9
The Arizon Hotel @ Malioboro,"<span itemprop=""address"">Jl. Jlagran No. 6, Pringgokusuman, Gedong Tengen, Yogyakarta, Indonesia</span>",5
Septia Malioboro Hotel,"<span itemprop=""address"">Jl. Pringgokusuman No.22 A, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",5
Prima SR Hotel & Convention,"<span itemprop=""address"">Jl. Magelang KM.11, Tridadi, Sleman, Yogyakarta, Indonesia</span>",12
Mashbrow Hostel,"<span itemprop=""address"">Jl. Bali No. 24, Widoro Baru, Ngropoh, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",4
Platinum Adisucipto Hotel & Conference Center,"<span itemprop=""address"">Jl. Solo No. 28, Adisucipto Airport, Yogyakarta, Indonesia</span>",7
D'Paragon Perumnas,"<span itemprop=""address"">Jl. Perumnas, Ngropoh, Condong Catur, Depok, Sleman, Yogyakarta, Indonesia</span>",3
Pesonna Hotel Tugu Yogyakarta,"<span itemprop=""address"">Jl. Diponegoro No.99, Bumijo, Jetis, Yogyakarta, Indonesia</span>",18
The Victoria Hotel Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisutjipto Km.5, Caturtunggal, Sleman, Yogyakarta, Indonesia</span>",9
@HOM Premiere Timoho Yogyakarta,"<span itemprop=""address"">Jl. IPDA Tut Harsono No.24, Timoho, Yogyakarta, Indonesia</span>",7
Grand Keisha Yogyakarta,"<span itemprop=""address"">Jl. Affandi No. 09, Gejayan, Depok, Yogyakarta, Indonesia</span>",14
Ceria Boutique Hotel Babarsari,"<span itemprop=""address"">Jl. Babarsari No. 23 B, Sleman, Bandara Yogyakarta, Yogyakarta, Indonesia</span>",5
Airlangga Hotel & Restaurant,"<span itemprop=""address"">Jl. Prawirotaman No. 6-8, Mergangsan, Yogyakarta, Indonesia</span>",23
Nueve Malioboro Hotel Yogyakarta,"<span itemprop=""address"">Jl. Mataram No.9, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213</span>",5
Patra Malioboro Hotel,"<span itemprop=""address"">Jl. Sosrowijayan No.35, Sosromenduran, Gedong Tengen, Yogyakarta, Indonesia</span>",13
H Boutique Hotel Jogjakarta,"<span itemprop=""address"">Jl. Prof. Herman Yohanes No.1, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",5
The Grand Cabin Hotel,"<span itemprop=""address"">Jl. Magelang No. 55, Kricak, Tegalrejo, Kota Yogyakarta, Indonesia</span>",5
Hotel Grand Rosela Yogyakarta,"<span itemprop=""address"">Jl. Prawirotaman No. 28, Prawirotaman, Yogyakarta, Indonesia</span>",16
Hotel di Jogja,,1
D'Paragon Seturan 4,"<span itemprop=""address"">Jl. Selokan Mataram No.1F, Kledokan, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",3
eL Hotel Royale Yogyakarta Malioboro,"<span itemprop=""address"">Jl. Dagen No.06, Malioboro, Daerah Istimewa Yogyakarta, Indonesia</span>",27
Hotel Cristalit,"<span itemprop=""address"">Jl. Prawirotaman 2 No.633, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",5
Gallery Prawirotaman Hotel,"<span itemprop=""address"">Jl. Prawirotaman 2 (Jl. Gerilya) No. 839 B, Mergangsan, Yogyakarta, Indonesia</span>",9
Pesonna Hotel Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Gadean No. 3, Malioboro, Yogyakarta, Indonesia</span>",42
Tasneem Convention Hotel Yogyakarta,"<span itemprop=""address"">Kawasan Mandira Baruga, Jl. Brigjen Katamso, Keparakan, Kec. Mergangsan, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",9
Bueno Colombo Hotel,"<span itemprop=""address"">Jl. Raya Yogya Solo Km 14, Kalasan, Yogyakarta, Indonesia</span>",6
Omah Ambarukmo,"<span itemprop=""address"">Phastika Ambarukmo Residence No.A1, Jl. Pisang Kledokan Seturan, Yogyakarta</span>",3
Java Village Resort,"<span itemprop=""address"">Jl. Griya Taman Asri, RT 001 RW 010, Pandowoharjo, Sleman, Yogyakarta 55512, Indonesia</span>",17
Sans Hotel Ekkon Yogyakarta,"<span itemprop=""address"">Jl. Hos Cokroaminoto, Cokro Square Kav 0, Wirobrajan, Yogyakarta, Indonesia</span>",10
Pondok Wangi Syariah,"<span itemprop=""address"">Jl. Laksda Adisucipto no. km 8, Kalongan, Maguwoharjo, Depok, Sleman, DI Yogyakarta</span>",7
Hotel Puspo Nugroho Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Sosrokusuman DN I No. 187, Danurejan, Yogyakarta, Indonesia</span>",13
@K Hotel Kaliurang,"<span itemprop=""address"">Jl. Tlogo Putri, Kaliurang, Hargobinangun, Pakem, Yogyakarta, Indonesia</span>",5
Grand Rohan Jogja,"<span itemprop=""address"">Jl. Janti-Gedong Kuning No 336, Banguntapan, Bantul, Yogyakarta, Indonesia</span>",13
