nama_hotel,alamat_hotel,jenis_kamar,total_kamar_tersedia
Hotel di Jogja,,0,0
de Laxston Hotel Yogyakarta,"<span itemprop=""address"">Jl. Urip Sumaharjo No. 139 A, Gondokusuman, Yogyakarta, Indonesia</span>",21,84
Forriz Hotel Yogyakarta,"<span itemprop=""address"">Jl. HOS Cokroaminoto No.16, Yogyakarta, Indonesia</span>",7,14
The Manohara Hotel Yogyakarta,"<span itemprop=""address"">Jalan Affandi No.35, Gejayan, Sleman, Daerah Istimewa Yogyakarta 55281</span>",14,14
Grand Sarila Yogyakarta,"<span itemprop=""address"">Jl. Affandi No. 3, Condong Catur, Yogyakarta 55283, Indonesia</span>",3,3
The Arizon Hotel @ Malioboro,"<span itemprop=""address"">Jl. Jlagran No. 6, Pringgokusuman, Gedong Tengen, Yogyakarta, Indonesia</span>",6,6
Prima SR Hotel & Convention,"<span itemprop=""address"">Jl. Magelang KM.11, Tridadi, Sleman, Yogyakarta, Indonesia</span>",14,56
Golom Room by Vivo Apartemen,"<span itemprop=""address"">Jl. Amarta, Jl.Seturan Raya No 01, Kledokan, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",3,9
Apartemen Jowo Kluthuk at Malioboro City,"<span itemprop=""address"">Jl. Laksda Adi Sucipto, Condong Catur, Depok, Sleman, Yogyakarta, DI Yogyakarta, Indonesia</span>",6,6
Pesonna Hotel Tugu Yogyakarta,"<span itemprop=""address"">Jl. Diponegoro No.99, Bumijo, Jetis, Yogyakarta, Indonesia</span>",24,24
The Victoria Hotel Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisutjipto Km.5, Caturtunggal, Sleman, Yogyakarta, Indonesia</span>",12,12
Grand Keisha Yogyakarta,"<span itemprop=""address"">Jl. Affandi No. 09, Gejayan, Depok, Yogyakarta, Indonesia</span>",14,56
Ceria Boutique Hotel Babarsari,"<span itemprop=""address"">Jl. Babarsari No. 23 B, Sleman, Bandara Yogyakarta, Yogyakarta, Indonesia</span>",6,6
H Boutique Hotel Jogjakarta,"<span itemprop=""address"">Jl. Prof. Herman Yohanes No.1, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",12,12
Best City Hotel,"<span itemprop=""address"">Jl. Tentara Pelajar No. 44, Jetis, Yogyakarta, Indonesia</span>",6,6
Hotel Grand Rosela Yogyakarta,"<span itemprop=""address"">Jl. Prawirotaman No. 28, Prawirotaman, Yogyakarta, Indonesia</span>",19,19
Omah Ambarukmo,"<span itemprop=""address"">Phastika Ambarukmo Residence No.A1, Jl. Pisang Kledokan Seturan, Yogyakarta</span>",3,3
Java Village Resort,"<span itemprop=""address"">Jl. Griya Taman Asri, RT 001 RW 010, Pandowoharjo, Sleman, Yogyakarta 55512, Indonesia</span>",21,21
@K Hotel Kaliurang,"<span itemprop=""address"">Jl. Tlogo Putri, Kaliurang, Hargobinangun, Pakem, Yogyakarta, Indonesia</span>",6,18
Griya Persada Convention Hotel & Resort Kaliurang,"<span itemprop=""address"">Jl. Boyong No 99 Kaliurang Barat, Pakem, Sleman, Yogyakarta</span>",12,48
Greenhost Boutique Hotel Prawirotaman,"<span itemprop=""address"">Jl. Prawirotaman II No.629 Brontokusuman, Prawirotaman, Yogyakarta, Indonesia 55153 </span>",4,16
Allstay Ecotel Yogyakarta,"<span itemprop=""address"">Jl. Wahid Hasyim No. 41, Yogyakarta</span>",17,17
Malioboro Garden Hotel,"<span itemprop=""address"">Jl. Sosrokusuman DN 1 / 163, Danureajan, Malioboro, Yogyakarta, Indonesia</span>",12,48
Mashbrow Hostel,"<span itemprop=""address"">Jl. Bali No. 24, Widoro Baru, Ngropoh, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",2,4
Grand Malioboro Yogyakarta ( FKA Hotel Jentra Malioboro ),"<span itemprop=""address"">Jl.Dagen 85, Malioboro, Yogyakarta, Indonesia</span>",6,6
Tjokro Style Yogyakarta,"<span itemprop=""address"">Jl. Mentri Supeno No.48, Sorosutan, Umbulharjo, DI Yogyakarta, Indonesia</span>",12,12
Prima In Hotel Malioboro,"<span itemprop=""address"">Jl. Gandekan Lor No 47, Malioboro, Yogyakarta, Indonesia</span>",7,14
Hotel Puspo Nugroho Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Sosrokusuman DN I No. 187, Danurejan, Yogyakarta, Indonesia</span>",12,48
Cavinton Hotel Yogyakarta by Tritama Hospitality,"<span itemprop=""address"">Jl. Letjend Suprapto No.1, Ngampilan, Wirobrajan, Yogyakarta, Indonesia</span>",6,6
Malioboro Inn Hotel,"<span itemprop=""address"">Jl Sosrowijayan No 23-25, Yogyakarta</span>",6,18
Home Addicts Yogya,"<span itemprop=""address"">Jl. Nakulo No. 2, Wirobrajan, Yogyakarta, Indonesia</span>",16,48
Hotel di Jogja,,0,0
Griya Jogja Hotel,"<span itemprop=""address"">Jl. Pakuningratan No.3, Yogyakarta</span>",18,72
Malioboro Prime Hotel Yogyakarta,"<span itemprop=""address"">Jl. Pasar Kembang No.9, Malioboro, Sosromenduran, Yogyakarta, Indonesia</span>",6,6
Melia Purosani Yogyakarta,"<span itemprop=""address"">Jl. Suryotomo No.31, Yogyakarta, Indonesia</span>",21,21
Abadi Hotel Malioboro Jogja,"<span itemprop=""address"">Jl. Pasar Kembang No.49, Yogyakarta</span>",9,27
Cantya Hotel,"<span itemprop=""address"">Jl. Sisingamangaraja No.21A, Magangsan, Yogyakarta, Indonesia</span>",6,6
Septia Malioboro Hotel,"<span itemprop=""address"">Jl. Pringgokusuman No.22 A, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",5,20
Queen of The South Hotel,"<span itemprop=""address"">Parangtritis, Yogyakarta, Tromd Pas 001, Kretek, Bantul, Yogyakarta</span>",6,18
Hotel Orlen,"<span itemprop=""address"">Jl. C. Simanjuntak, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223</span>",6,6
Duta Garden Hotel,"<span itemprop=""address"">Timuran MG.III/103, Mergangsan, Yogyakarta, Yogyakarta Province, Indonesia</span>",8,8
Delta Homestay,"<span itemprop=""address"">Jl. Prawirotaman MG.III, Brontokusuman, Mergangsan, Yogyakarta, Indonesia</span>",8,16
De Hostel Yogyakarta,"<span itemprop=""address"">Jl. Prawirotaman 1, Gang Batik Gringsing No. 1, Prawirotaman, Yogyakarta, Indonesia</span>",1,1
@HOM Premiere Timoho Yogyakarta,"<span itemprop=""address"">Jl. IPDA Tut Harsono No.24, Timoho, Yogyakarta, Indonesia</span>",7,7
Platinum Adisucipto Hotel & Conference Center,"<span itemprop=""address"">Jl. Solo No. 28, Adisucipto Airport, Yogyakarta, Indonesia</span>",8,8
Aveon Hotel Yogyakarta by Daphna International,"<span itemprop=""address"">Jl. Padjajaran No. 160, Ring Road Utara, Pugeran, Maguwoharjo, Depok, Sleman, Yogyakarta, Indonesia</span>",8,8
Hotel Cristalit,"<span itemprop=""address"">Jl. Prawirotaman 2 No.633, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",4,8
Griya Zukarnaen Syariah,"<span itemprop=""address"">Ds.Ngentak, Kel.Argorejo, Kec.Sedayu, Kab.Bantul, DI Yogyakarta</span>",1,1
Pondok Wangi Syariah,"<span itemprop=""address"">Jl. Laksda Adisucipto no. km 8, Kalongan, Maguwoharjo, Depok, Sleman, DI Yogyakarta</span>",6,6
D'Kayon Hotel Demangan Yogyakarta,"<span itemprop=""address"">Jl. Cendrawasih, No. 19, Demangan, Depok, Sleman, Yogyakarta, Indonesia</span>",8,8
D'Paragon Perumnas,"<span itemprop=""address"">Jl. Perumnas, Ngropoh, Condong Catur, Depok, Sleman, Yogyakarta, Indonesia</span>",2,6
SigNature Jogja Hotel,"<span itemprop=""address"">Jl. Monjali, Sub Jl. Sidodadi No. 88 Rt. 01 Rw. 43 Gemawang, Sinduadi, Mlati, Sleman, Yogyakarta, Indonesia</span>",2,4
PULANG ke UTTARA,"<span itemprop=""address"">Jl. Kaliurang KM. 5,5 No. 72, Depok, Sleman, Yogyakarta, Indonesia</span>",8,32
All Nite & Day Hotel Gejayan Yogyakarta,"<span itemprop=""address"">Jl. Affandi - Gejayan No.17 C, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",2,6
The Cube Malioboro Hotel,"<span itemprop=""address"">Jl. Parang Tritis No.16, Mantrijeron, Yogyakarta, Indonesia</span>",12,12
Pesonna Hotel Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Gadean No. 3, Malioboro, Yogyakarta, Indonesia</span>",41,41
Grand Kangen Urip Sumoharjo (FKA Horison Urip Sumoharjo),"<span itemprop=""address"">Jl. Urip Sumoharjo No.137, Klitren, Gondokusuman, Yogyakarta, Indonesia</span>",9,27
D'Paragon Seturan 4,"<span itemprop=""address"">Jl. Selokan Mataram No.1F, Kledokan, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",2,4
Cordela Kartika Dewi Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Bhayangkara No. 35, Ngampilan, Yogyakarta, Indonesia</span>",4,4
RedDoorz near Hartono Mall 3,"<span itemprop=""address"">Jl. Wahid Hasyim No.44, Condong Catur, Sleman, Yogyakarta, Indonesia</span>",10,10
POP! Hotel Sangaji Yogyakarta,"<span itemprop=""address"">Jl. A.M.Sangaji Kav.16-18, Jetis, Yogyakarta</span>",3,3
Sunrise Hotel Yogyakarta,"<span itemprop=""address"">Jl. Ring Road Utara, Pandean Gandok No. 56, Condongcatur, Sleman, Yogyakarta, Indonesia</span>",1,4
Hotel di Jogja,,0,0
RedDoorz near Lempuyangan Train Station,"<span itemprop=""address"">Jl. Bausasran No.2, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166, Indonesia</span>",15,60
Jowo Kluthuk Heritage,"<span itemprop=""address"">Gg. Anggrek 2 Jl. Bedrek No.20, Meguwo, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",3,3
Sunrise Hotel Jombor,"<span itemprop=""address"">Jl. Magelang KM 6.5, Sinduadi, Jombor Lor, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",1,1
Laxston Hotel Jogja,"<span itemprop=""address"">Jl. Magelang No.31, Yogyakarta, Indonesia</span>",1,1
Arte Hotel Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Pasar Kembang No.53, Malioboro Street, Yogyakarta, Yogyakarta Province, Indonesia</span>",8,32
Tasneem Convention Hotel Yogyakarta,"<span itemprop=""address"">Kawasan Mandira Baruga, Jl. Brigjen Katamso, Keparakan, Kec. Mergangsan, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",8,8
RedDoorz @ Demangan Sari Residence,"<span itemprop=""address"">Jl. Petung No.33, Demangan Baru, Caturtunggal, Kec. Depok, Kab. Sleman, DI Yogyakarta, Indonesia</span>",6,12
Lafayette Boutique Hotel,"<span itemprop=""address"">Jl. Ring Road Utara No.409, Catur Manunggal, Sleman, Yogyakarta, Indonesia</span>",6,6
RedDoorz near XT Square 2,"<span itemprop=""address"">Jl. Veteran No. 143, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",28,112
RedDoorz @ Sagan Jogja 2,"<span itemprop=""address"">Jl. Prof. Dr. Yohanes No.1060, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",12,48
RedDoorz Syariah near Taman Pelangi Monjali,"<span itemprop=""address"">Jalan Kapas No. 100 Jongkang RT/RW 06/36 Sariharjo Ngaglik Sleman, DI Yogyakarta</span>",6,6
RedDoorz @ Mantrijeron 2,"<span itemprop=""address"">Jl. DI. Panjaitan, Mantrijeron, Yogyakarta, Indonesia</span>",23,23
Metro Malioboro Living,"<span itemprop=""address"">Jl. Ronodigdayan No. 16, Bausasran, Danurejan, Yogyakarta, Indonesia</span>",6,18
Hotel Unisi Yogyakarta Syariah,"<span itemprop=""address"">Jl. Pasar Kembang No.42, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",8,8
