text,created_at,id,username,retweet_count,like_count,source
"Pemerintah menyiapkan Asrama Haji Pondok Gede (900 tempat tidur, 50 ICU, 40 HCU), Rusun Nagrak (2.273 tempat tidur), dan Rusun Pasar Rumput (3.986 tempat tidur) sebagai tempat tambahan isolasi bagi mereka yang positif di Jakarta dan sekitarnya.

Tetap patuhi protokol kesehatan. https://t.co/vDyL2qJTP9",2021-07-06 10:59:23,1412365553805664257,jokowi,920,5211,Twitter for Android
"Tak ada tempat yang lebih baik saat ini selain di rumah saja dan menjauhi kerumunan. Selain melindungi keluarga dan lingkungan, juga membantu para tenaga kesehatan yang tengah berjuang menangani pasien Covid-19. 

Dengan persatuan, kita akan melalui masa sulit ini bersama-sama. https://t.co/kgRVoo5IhD",2021-07-05 01:28:13,1411859426458234881,jokowi,2021,11472,Twitter for Android
"Innalillahi wa inna ilaihi rajiun. Turut berdukacita atas berpulangnya Ibu Hj. Rachmawati Soekarnoputri. Almh. adalah tokoh yang jejaknya terentang luas, dari pendidikan hingga politik. 

Semoga arwahnya diterima di sisi Allah SWT, dan keluarga yang ditinggalkan diberi kesabaran. https://t.co/SEiJuVZRjJ",2021-07-03 10:52:10,1411276574926589958,jokowi,1550,14273,Twitter for Android
"Pemerintah memutuskan untuk memberlakukan PPKM Darurat di Jawa dan Bali, sejak 3 Juli hingga 20 Juli 2021.

Pemerintah akan mengerahkan seluruh sumber daya yang ada untuk mengatasi penyebaran Covid-19 ini.

https://t.co/6vIJDAgq78",2021-07-01 06:51:10,1410491149861543943,jokowi,1170,5911,Twitter for Android
"Kemarin, 14 juta dosis bahan baku vaksin dari Sinovac kembali tiba di Indonesia. Setelah itu akan datang lagi dari Covax/GAVI, AstraZeneca, dan dari Pfizer. 

Pemerintah berharap, di akhir tahun ini sebanyak 181,5 juta rakyat Indonesia telah divaksinasi.",2021-07-01 02:23:46,1410423857614245890,jokowi,216,1395,Twitter for Android
"Sampai kemarin, vaksinasi Covid-19 di Indonesia sudah mencapai 42 juta dosis. Target kita, bulan ini 34 juta dosis, Agustus 43,7 juta, September 53 juta, Oktober 84 juta, November 80,9 juta, dan Desember 71,7 juta. 

Dengan kerja keras target ini tidak sulit asal vaksinnya ada. https://t.co/2pr1xJUo1k",2021-07-01 02:23:46,1410423854942490630,jokowi,765,5543,Twitter for Android
"Kepolisian RI kini tidak sekadar menegakkan hukum, memelihara keamanan dan ketertiban masyarakat tapi juga berperan lebih luas lagi: dari menjaga kedisiplinan masyarakat dalam penerapan protokol kesehatan hingga menyukseskan program vaksinasi nasional.

Terima kasih Polri. https://t.co/UTreRKMTkA",2021-07-01 01:36:41,1410412008416055298,jokowi,673,4886,Twitter for Android
"Suasana pelaksanaan vaksinasi Covid-19 massal di Kota Kendari, hari ini.  Saya mengapresiasi kesigapan pemda melakukan vaksinasi di daerah masing-masing.

Dukungan pemda sangat penting untuk mencapai target satu juta vaksin per hari di bulan Juli, dan dua juta pada bulan Agustus. https://t.co/jcrNdV2MlR",2021-06-30 08:54:23,1410159770078748677,jokowi,375,3721,Twitter for Android
Saya menghargai setiap kritik. Dan sikap kritis itu justru bagus untuk negara demokrasi. https://t.co/CM2PWybHuS,2021-06-29 09:22:53,1409804553273315328,jokowi,3827,22286,Twitter for Android
"Program vaksinasi Covid-19 nasional telah mencapai 1,3 juta suntikan per hari, Sabtu lalu. Dan kini, BPOM telah menerbitkan izin penggunaan darurat vaksin Sinovac untuk anak-anak berusia 12-17 tahun. 

Mari, jangan ragu divaksinasi. https://t.co/ii6gXzG8ss",2021-06-28 12:24:02,1409487754392588288,jokowi,1256,8395,Twitter for Android
"Pemerintah berupaya mendatangkan vaksin. Tenaga kesehatan di garda terdepan menangani pasien. 

Lalu Anda? Kenakan masker, jaga jarak, dan jauhi kerumunan. Jika sudah ada kesempatan mendapatkan vaksin, segera ambil. 

Setiap kita punya peran dalam menghentikan laju pandemi ini. https://t.co/NZ1NaonirH",2021-06-28 02:04:11,1409331765693476864,jokowi,1536,8443,Twitter for Android
"Masyarakat antusias menerima vaksinasi Covid-19 di Lapangan Bhayangkara Mabes Polri dan Gelora Bung Karno, pagi ini. 

Mulai hari ini, kita targetkan vaksinasi satu juta suntikan per hari. Saya berharap, pada bulan Augustus nanti, bisa dua kali lebih banyak dari sekarang. https://t.co/VudzTBMvjH",2021-06-26 08:10:46,1408699240839221253,jokowi,615,4917,Twitter for Android
"Saya berkunjung mendadak ke salah satu RW yang menerapkan PPKM Mikro di Rawasari, Jakarta Pusat, siang tadi. PPKM Mikro bisa berjalan dengan baik di sini. 

Saya meminta pelaksanaan PPKM Mikro di tanah air dijalankan sepenuhnya, diawasi pemda, dan dibantu aparat TNI dan Polri. https://t.co/VZC7xLUQKU",2021-06-25 10:46:27,1408376032147636227,jokowi,693,6337,Twitter for Android
"Terima kasih kepada BPK yang di tengah berbagai keterbatasan aktivitas dan mobilitas di masa pandemi, telah melaksanakan pemeriksaan atas Laporan Keuangan Pemerintah Pusat tahun 2020 dengan tepat waktu. 

Alhamdulillah opininya adalah wajar tanpa pengecualian (WTP). https://t.co/AthUWgBr2u",2021-06-25 06:40:29,1408314132835672064,jokowi,425,3883,Twitter for Android
"Kita harus tetap berdisiplin menjaga diri, terutama memakai masker. Saya minta satu hal sederhana ini: tinggallah di rumah jika tidak ada kebutuhan yang mendesak.
 
Hanya dengan langkah bersama kita bisa menghentikan wabah ini.",2021-06-24 04:59:35,1407926355413528578,jokowi,233,1818,Twitter for Android
"Saudara-saudara, jika sudah ada kesempatan mendapatkan vaksin, segera ambil. Jangan menolak. Agama apapun tidak ada yang melarang vaksin. Ini demi keselamatan kita.
 
Vaksin merupakan upaya terbaik yang tersedia saat ini untuk mengatasi pandemi. https://t.co/fOtvskjvUc",2021-06-24 04:59:35,1407926353010171904,jokowi,1757,10789,Twitter for Android
"Pemerintah memutuskan bahwa PPKM Mikro masih menjadi kebijakan yang paling tepat untuk penanganan Covid-19 hingga ke tingkat desa atau langsung ke komunitas. 

Mengapa?

https://t.co/Fjo4CjNLhT",2021-06-23 10:07:07,1407641360782413825,jokowi,638,4476,Twitter for Android
"Terima kasih untuk segala perhatian dan doa untuk saya dan keluarga pada hari ini. 

Sekarang, negeri ini membutuhkan kerja keras kita semua untuk bersama-sama keluar dari pandemi. Tetaplah sehat, patuhi protokol kesehatan, semoga Allah SWT senantiasa melindungi kita. https://t.co/ddh4lQzU9X",2021-06-21 11:41:10,1406940250518089728,jokowi,1717,15195,Twitter for Android
