Nama,Harga,Review
Jambuluwuk Malioboro Yogyakarta Hotel, 322844,"1,466 "
Porta by The Ambarrukmo, 332887,41 
Indies Heritage Hotel, 330578,280 
LYNN Hotel By Horison, 357025,180 
the Amartya Jogjakarta Hotel, 457025,41 
Bueno Colombo Hotel and Resorts, 557851,67 
El Hotel Royale Yogyakarta Malioboro, 537190,99 
Queen Of The South Resort, 725051,218 
Radika Paradise Villa & Cottage, 400000,6 
Grand Senyum Hotel, 413223,30 
Novotel Suites Yogyakarta Malioboro, 539503,78 
Sahid Raya Hotel & Convention Yogyakarta, 222314,92 
Artotel Yogyakarta, 320681,550 
THE 1O1 Yogyakarta Tugu, 552893,933 
Grand Inna Malioboro, 323891,550 
Aveon Hotel Yogyakarta by Daphna International, 276074,8 
Pulang ke Uttara, 368757,43 
Sheraton Mustika Yogyakarta Resort And Spa, 630000,"1,306 "
Lafayette Boutique Hotel Yogyakarta, 514731,95 
d’Omah Hotel and Village Resort, 499999,463 
HOM Premiere Timoho, 199999,32 
Grand Keisha Yogyakarta, 557851,179 
D'Kaliurang Resort & Convention, 353227,16 
The Manohara Hotel Yogyakarta, 615455,59 
YATS Colony, 435898,246 
Satoria Hotel Yogyakarta, 263522,908 
The Rich Jogja Hotel, 362069,626 
OYO 1533 The Paris Ocean, 153549,1 
Grand Rohan Jogja, 515153,176 
Royal Malioboro Yogyakarta by Aston, 990703,2 
Jogja Village, 289256,727 
